candidate_id,target_form,forecast_horizon_quarters,feature_count,alpha,validation_observations,validation_model_mae,validation_persistence_mae,validation_mae_ratio,validation_model_rmse,validation_persistence_rmse,validation_rmse_ratio,selection_score,selected
ratio_change_lagged_macro,ratio_change,1,2,0.10000000000000001,12,0.00035769494702890276,0.0001916246166666667,1.8666440317066224,0.00045889569998446087,0.00027540922647740666,1.6662321224815853,1.7664380770941039,False
ratio_change_lagged_macro,ratio_change,1,2,1,12,0.00035301837193972579,0.0001916246166666667,1.8422391552845501,0.00045334257765340154,0.00027540922647740666,1.646068955103041,1.7441540551937955,False
ratio_change_lagged_macro,ratio_change,1,2,10,12,0.00031472191279047977,0.0001916246166666667,1.6423876966597788,0.00040968990634791824,0.00027540922647740666,1.4875678334673634,1.564977765063571,False
ratio_change_lagged_macro,ratio_change,1,2,100,12,0.00020891316527119207,0.0001916246166666667,1.0902209168386701,0.00030573392700204276,0.00027540922647740666,1.1101077872825869,1.1001643520606286,False
ratio_change_lagged_macro,ratio_change,1,2,1000,12,0.0002057023204630424,0.0001916246166666667,1.0734650069560949,0.00028552248958877297,0.00027540922647740666,1.036720858050832,1.0550929325034635,False
ratio_change_lagged_macro,ratio_change,1,2,10000,12,0.00020671575930040608,0.0001916246166666667,1.0787536742212542,0.00028518136147640411,0.00027540922647740666,1.0354822353774671,1.0571179547993608,False
ratio_change_two_quarter,ratio_change,2,3,0.01,12,0.00067939021512956714,0.0003332247416666669,2.0388348468109196,0.00083827728566091984,0.00042091787770557964,1.9915459286984041,2.0151903877546617,False
ratio_change_two_quarter,ratio_change,2,3,0.10000000000000001,12,0.00067876436965756822,0.0003332247416666669,2.0369566985411707,0.00083738391334444644,0.00042091787770557964,1.9894234901806029,2.0131900943608869,False
ratio_change_two_quarter,ratio_change,2,3,1,12,0.00067262448998564345,0.0003332247416666669,2.0185310569119945,0.00082863763563743463,0.00042091787770557964,1.9686444304868504,1.9935877436994225,False
ratio_change_two_quarter,ratio_change,2,3,10,12,0.00062114930108943874,0.0003332247416666669,1.8640551658399664,0.00075675050134659861,0.00042091787770557964,1.7978578279251056,1.830956496882536,False
ratio_change_two_quarter,ratio_change,2,3,100,12,0.00044331983615990045,0.0003332247416666669,1.3303929172323117,0.00054001635941236005,0.00042091787770557964,1.2829494493224791,1.3066711832773954,False
ratio_change_two_quarter,ratio_change,2,3,1000,12,0.00037643104463957615,0.0003332247416666669,1.1296611492796342,0.00045654632522169615,0.00042091787770557964,1.0846446525634095,1.107152900921522,False
ratio_change_two_quarter,ratio_change,2,3,10000,12,0.00037412622159737263,0.0003332247416666669,1.1227444268577766,0.00044838906930620752,0.00042091787770557964,1.065264967481004,1.0940046971693902,False
