feature,feature_type,bin_order,bin,min_value,max_value,total,goods,bads,bad_rate,dist_good,dist_bad,woe,iv
credit_utilisation,numeric,1,"[0, 0.329]",0.0,0.329,165871,141188,24683,0.14880841135581266,0.2087682409843071,0.16125839496171637,0.2582167257753358,0.012267836882043737
credit_utilisation,numeric,2,"(0.329, 0.486]",0.33,0.486,165690,136709,28981,0.17491097833303157,0.20214537190241508,0.1893374186636005,0.06545639418244335,0.0008383624358701498
credit_utilisation,numeric,3,"(0.486, 0.624]",0.487,0.624,166728,135091,31637,0.18975217120099802,0.19975291774423215,0.20668918389212637,-0.034134946233088846,0.00023676907201676352
credit_utilisation,numeric,4,"(0.624, 0.772]",0.625,0.772,165328,132293,33035,0.1998149133843027,0.1956156577104894,0.21582237959599654,-0.09830394866958864,0.0019864005510135483
credit_utilisation,numeric,5,"(0.772, 8.923]",0.773,8.923,165254,130627,34627,0.20953804446488436,0.1931522283980464,0.22622298586249248,-0.1580425497656332,0.0052265868323619034
credit_utilisation,numeric,6,Missing,,,484,382,102,0.21074380165289255,0.0005655832605098677,0.0006696370240677346,-0.16887829230230172,1.7572421897280035e-05
delinquencies_2y,numeric,1,"[0, 39.0]",0.0,39.0,829326,676264,153062,0.1845619213674719,0.9999608156843726,0.999977134046751,-1.631886867389389e-05,2.6629721262735613e-10
delinquencies_2y,numeric,2,Missing,,,29,26,3,0.10344827586206896,3.91843156274444e-05,2.28659532489253e-05,0.5386275086352096,8.789518872948275e-06
loan_amount,numeric,1,"[500.0, 7,000]",500.0,7000.0,175960,150565,25395,0.1443225733121164,0.22263369769737207,0.16591046433762882,0.29407953828922245,0.016681142276705113
loan_amount,numeric,2,"(7,000, 10,000]",7025.0,10000.0,156704,131502,25202,0.16082550541147642,0.19444619007308228,0.1646495827004426,0.16633599270495322,0.004956248266567748
loan_amount,numeric,3,"(10,000, 15,000]",10025.0,15000.0,183521,147746,35775,0.19493681921959885,0.2184653829519032,0.23372368399562285,-0.06751200843593114,0.0010301185487815773
loan_amount,numeric,4,"(15,000, 21,000]",15025.0,21000.0,153661,121240,32421,0.21099042697886908,0.1792722823334578,0.21181178238358894,-0.16679228093364631,0.005427337433801873
loan_amount,numeric,5,"(21,000, 35,000]",21025.0,35000.0,159509,125237,34272,0.21485934962917452,0.18518244694418465,0.22390448658271678,-0.1898780229355732,0.007352464330597379
interest_rate,numeric,1,"[0.0532, 0.089]",0.0532,0.089,167231,157002,10229,0.061166888914136734,0.23215176865039905,0.06682999330360788,1.2452393516816282,0.20586518035169402
interest_rate,numeric,2,"(0.089, 0.12]",0.0894,0.1199,174430,153154,21276,0.12197443100384109,0.22646192291057493,0.13900076763519362,0.48809736435000844,0.04268955937292045
interest_rate,numeric,3,"(0.12, 0.14]",0.1204,0.1399,169894,138718,31176,0.1835026545963954,0.2051161294853928,0.20367811586391624,0.0070354197462113655,1.0117029427857054e-05
interest_rate,numeric,4,"(0.14, 0.17]",0.1407,0.1699,161097,123572,37525,0.23293419492603834,0.18272049446060692,0.24515654858150815,-0.29393934771494995,0.01835241302219302
interest_rate,numeric,5,"(0.17, 0.29]",0.1703,0.2899,156703,103844,52859,0.3373196428913295,0.1535496844930263,0.3453345746157741,-0.8104895364580847,0.15543964669525057
employment_length,numeric,1,"[0, 2]",0.0,2.0,194416,158641,35775,0.18401263270512716,0.23457527623032934,0.23372368399562285,0.003636963759213996,3.0972100952555584e-06
employment_length,numeric,2,"(2, 5]",3.0,5.0,167621,137219,30402,0.18137345559327292,0.20289963292510269,0.1986215231842161,0.021310317406347437,9.116787647747974e-05
employment_length,numeric,3,"(5, 8]",6.0,8.0,123554,100586,22968,0.18589442672839407,0.1487322423359715,0.1500547144233753,-0.008852332363476878,1.1706962459119705e-05
